Carimbo de data/hora,1 - Está procurando emprego e/ou procurando um trabalho extra?,2 - Quantas pessoas você conhece que estão desempregados e/ou procurando trabalho? ,"3 - Seria interessante encontrar trabalho por meio de um aplicativo, direcionado para diversas áreas?",4 - Trabalharia em uma cidade próxima ?,"5 - Com média de Quilometragens, quantos KM você estaria disposto a percorrer para um trabalho extra ?","6 - Para pagamentos, estaria disposto a pagar por dentro ou por fora do aplicativo?","7 - E para recebimento, estaria disposto a receber por dentro ou por fora do aplicativo?",8 - Estaria disposto a trocar informações de localização e/ou telefones com quem esta procurando ou publicando um trabalho ?
11/03/2021 08:29:51,Sim,Uma pessoa,Sim,Não,Entre 5 Km,Ambas opções,Ambas opções,Sim
11/03/2021 08:34:49,Não,3 a 5,Sim,Talvez,Uma cidade próxima,Ambas opções,Ambas opções,Sim
11/03/2021 08:44:53,Sim,5 a 10,Sim,Sim,Uma cidade próxima,Ambas opções,Ambas opções,Sim
11/03/2021 08:49:51,Não,3 a 5,Sim,Sim,Entre 50 Km,Dentro do aplicativo,Dentro do aplicativo,Sim
11/03/2021 08:57:49,Não,Uma pessoa,Sim,Sim,Entre 15 Km,Fora do aplicativo,Fora do aplicativo,Não
11/03/2021 09:08:09,Não,Uma pessoa,Sim,Talvez,Entre 15 Km,Ambas opções,Ambas opções,Não
11/03/2021 09:21:03,Não,Acima de 10,Sim,Não,Entre 15 Km,Ambas opções,Ambas opções,Sim
11/03/2021 09:34:43,Não,3 a 5,Sim,Sim,Entre 15 Km,Ambas opções,Ambas opções,Sim
11/03/2021 10:20:49,Sim,3 a 5,Sim,Sim,Uma cidade próxima,Ambas opções,Ambas opções,Sim
11/03/2021 11:56:25,Não,3 a 5,Sim,Sim,Uma cidade próxima,Dentro do aplicativo,Ambas opções,Sim
11/03/2021 13:08:03,Sim,3 a 5,Sim,Sim,Entre 15 Km,Fora do aplicativo,Fora do aplicativo,Sim
11/03/2021 13:37:26,Não,Acima de 10,Sim,Talvez,Entre 15 Km,Ambas opções,Ambas opções,Sim
11/03/2021 18:04:59,Não,Uma pessoa,Sim,Sim,Uma cidade próxima,Ambas opções,Ambas opções,Sim
12/03/2021 14:40:02,Sim,3 a 5,Sim,Talvez,Entre 15 Km,Ambas opções,Ambas opções,Sim
13/03/2021 09:44:57,Sim,3 a 5,Sim,Não,Entre 50 Km,Ambas opções,Fora do aplicativo,Não
13/03/2021 10:09:43,Não,3 a 5,Sim,Talvez,Entre 15 Km,Fora do aplicativo,Fora do aplicativo,Não
13/03/2021 10:31:38,Não,Uma pessoa,Sim,Talvez,Entre 15 Km,Dentro do aplicativo,Dentro do aplicativo,Não
13/03/2021 10:36:00,Sim,3 a 5,Sim,Sim,Uma cidade próxima,Fora do aplicativo,Ambas opções,Não
13/03/2021 11:01:29,Sim,3 a 5,Sim,Talvez,Entre 5 Km,Ambas opções,Ambas opções,Sim
13/03/2021 11:08:58,Sim,5 a 10,Sim,Sim,Entre 15 Km,Fora do aplicativo,Fora do aplicativo,Sim
13/03/2021 11:10:21,Não,3 a 5,Sim,Sim,Entre 5 Km,Ambas opções,Ambas opções,Sim
13/03/2021 11:13:45,Não,3 a 5,Sim,Não,Entre 5 Km,Ambas opções,Ambas opções,Sim
13/03/2021 15:49:50,Não,3 a 5,Sim,Sim,Entre 15 Km,Dentro do aplicativo,Dentro do aplicativo,Sim
13/03/2021 16:01:07,Sim,3 a 5,Sim,Sim,Uma cidade próxima,Ambas opções,Ambas opções,Sim
15/03/2021 12:11:28,Não,Acima de 10,Sim,Talvez,Entre 50 Km,Ambas opções,Ambas opções,Não
15/03/2021 12:21:20,Não,3 a 5,Sim,Sim,Entre 15 Km,Ambas opções,Ambas opções,Sim
17/03/2021 19:38:45,Sim,3 a 5,Sim,Talvez,Entre 15 Km,Fora do aplicativo,Ambas opções,Sim
18/03/2021 19:39:30,Sim,Uma pessoa,Sim,Não,Entre 5 Km,Dentro do aplicativo,Dentro do aplicativo,Sim
18/03/2021 19:40:07,Não,Acima de 10,Sim,Sim,Uma cidade próxima,Ambas opções,Ambas opções,Sim
21/03/2021 19:40:29,Sim,5 a 10,Sim,Talvez,Uma cidade próxima,Fora do aplicativo,Fora do aplicativo,Sim
23/03/2021 19:40:58,Sim,Uma pessoa,Sim,Sim,Entre 5 Km,Dentro do aplicativo,Dentro do aplicativo,Sim